Datetime,v1,v2
2025-01-12 13:05:04.844389,42,17
2025-01-12 13:05:05.840426,42,17
2025-01-12 13:05:06.846652,42,17
2025-01-12 13:05:07.855131,42,17
2025-01-12 13:05:08.845194,42,17
2025-01-12 13:05:09.847936,42,17
2025-01-12 13:05:10.854817,42,17
2025-01-12 13:05:11.840990,42,17
2025-01-12 13:05:12.854747,42,17
2025-01-12 13:05:13.841555,42,17
2025-01-12 13:05:14.844417,42,17
2025-01-12 13:05:15.846882,42,17
2025-01-12 13:05:16.850627,42,17
2025-01-12 13:05:17.853278,42,17
2025-01-12 13:05:18.844477,42,17
2025-01-12 13:05:19.845814,42,17
2025-01-12 13:05:20.841570,42,17
2025-01-12 13:05:21.854578,42,17
2025-01-12 13:05:22.854385,42,17
2025-01-12 13:05:23.848152,42,17
2025-01-12 13:05:24.851114,42,17
2025-01-12 13:05:25.853822,42,17
2025-01-12 13:05:26.855017,42,17
2025-01-12 13:05:27.841206,42,17
2025-01-12 13:05:28.845785,42,17
2025-01-12 13:05:29.855178,42,17
2025-01-12 13:05:30.851755,42,17
2025-01-12 13:05:31.843638,42,17
2025-01-12 13:05:32.846259,42,17
2025-01-12 13:05:33.848990,42,17
2025-01-12 13:05:34.844222,42,17
2025-01-12 13:05:35.848394,42,17
2025-01-12 13:05:36.844827,42,17
2025-01-12 13:05:37.840013,42,17
2025-01-12 13:05:38.844068,42,17
2025-01-12 13:05:39.845555,42,17
2025-01-12 13:05:40.854542,42,17
2025-01-12 13:05:41.843666,42,17
2025-01-12 13:05:42.846347,42,17
2025-01-12 13:05:43.854536,42,17
2025-01-12 13:05:44.854219,42,17
2025-01-12 13:05:45.855100,42,17
2025-01-12 13:05:46.854629,42,17
2025-01-12 13:05:47.845276,42,17
2025-01-12 13:05:48.845569,42,17
2025-01-12 13:05:49.855309,42,17
2025-01-12 13:05:50.852164,42,17
2025-01-12 13:05:51.841975,42,17
2025-01-12 13:05:52.854584,42,17
2025-01-12 13:05:53.854723,42,17
2025-01-12 13:05:54.845452,42,17
2025-01-12 13:05:55.848447,42,17
2025-01-12 13:05:56.846510,42,17
2025-01-12 13:05:57.852302,42,17
2025-01-12 13:05:58.854633,42,17
2025-01-12 13:05:59.854030,42,17
2025-01-12 13:06:00.852581,42,17
2025-01-12 13:06:01.854803,42,17
2025-01-12 13:06:02.844520,42,17
2025-01-12 13:06:03.845522,42,17
2025-01-12 13:06:04.839849,42,17
2025-01-12 13:06:05.844904,42,17
2025-01-12 13:06:06.853758,42,17
2025-01-12 13:06:07.854148,42,17
2025-01-12 13:06:08.844934,42,17
2025-01-12 13:06:09.844698,42,17
2025-01-12 13:06:10.854278,42,17
2025-01-12 13:06:11.850017,42,17
2025-01-12 13:06:12.854087,42,17
2025-01-12 13:06:13.846031,42,17
2025-01-12 13:06:14.854388,42,17
2025-01-12 13:06:15.839373,42,17
2025-01-12 13:06:16.845069,42,17
2025-01-12 13:06:17.854417,42,17
2025-01-12 13:06:18.845705,42,17
2025-01-12 13:06:19.844158,42,17
2025-01-12 13:06:20.854337,42,17
2025-01-12 13:06:21.852151,42,17
2025-01-12 13:06:22.845985,42,17
2025-01-12 13:06:23.854254,42,17
2025-01-12 13:06:24.843091,42,17
2025-01-12 13:06:25.847181,42,17
2025-01-12 13:06:26.839268,42,17
2025-01-12 13:06:27.853833,42,17
2025-01-12 13:06:28.854308,42,17
